item,a,b1,b2,b3
dQ7A,0.8902845629808285,-0.5536916120667633,0.723701559701352,1.8427002317997467
dQ10D,1.4661423828347657,-0.40498571750309464,0.5473537124100426,1.3780412966526812
dQ13D,1.5875603347004061,-1.0564853204418703,0.11890047735477219,0.9864134423318224
dQ14S,0.7080820149530819,-2.0084214327633116,0.10949367480026262,1.6491940395103724
dQ16D,1.2215238463333078,-0.5206730366956995,0.7292218897837377,1.7130099492748638
dQ17D,1.3029131420428577,-0.31134383121046977,0.5576207524984151,1.4140070748176266
dQ18S,0.9769047318303883,-1.2165240466566298,0.0423538084977138,1.0297918547931353
dQ19A,0.9619244810228864,-0.7068405111791125,0.4976153844203652,1.6312093900089404
dQ20A,1.3381395861356078,-0.26976406167951467,0.8628343150630369,1.754487958636972
dQ21D,1.4662179113758875,0.17333965197298282,0.8219603616433174,1.524127263698506
dQ1S,0.575027560240776,-1.4451032334358969,0.9083636175127174,2.617681658151467
dQ9A,1.3431365959917636,-1.3768728975067759,-0.1063427269096655,0.9639532583498965
dQ11S,1.475888064515407,-1.0212123992914113,0.13225226185191247,1.1085137407352648
dQ12S,1.0726002160599752,-0.5352595317308702,0.7557996024761748,2.0045729952425626
dQ15A,1.6196414304953841,-0.5170704052280958,0.421268151964052,1.3452738725989368
