item,a__Female,a__Male,b1__Female,b1__Male,b2__Female,b2__Male,b3__Female,b3__Male,a_diff,b1_diff,b2_diff,b3_diff,flag
dQ7A,0.6739370838977636,0.9671571609061889,-1.1560133679100126,-0.21150838748337347,0.318977617676751,1.1483360423336553,1.735885207945435,2.2598458752092077,0.29322007700842523,0.9445049804266392,0.8293584246569043,0.5239606672637727,FLAG
dQ10D,1.650999219284018,1.4020240492185907,-0.47471142984208736,-0.32667420503730815,0.40004199241879557,0.6953059710132576,1.1782962129663885,1.5656967586154853,-0.24897517006542724,0.1480372248047792,0.2952639785944621,0.38740054564909676,FLAG
dQ13D,1.5424376361452625,1.4633774482218023,-1.257979445716532,-0.9201879947829255,-0.2883827685573689,0.5783302039779152,0.5997772799216804,1.5797784349407298,-0.07906018792346026,0.33779145093360663,0.8667129725352841,0.9800011550190494,FLAG
dQ14S,0.6593158252510103,0.686595374129579,-2.1492074165461035,-2.0136376913534573,-0.138132238202636,0.40230944739152513,1.3986288859040505,2.0947266067694947,0.02727954887856876,0.1355697251926462,0.5404416855941612,0.6960977208654442,FLAG
dQ16D,1.1105728374291526,1.4375399521202552,-0.677037146274887,-0.36536536929926045,0.6563092145575318,0.7977999129691864,1.6498863927463954,1.7482528818219394,0.3269671146911026,0.31167177697562654,0.14149069841165463,0.09836648907554402,FLAG
dQ17D,1.3897046028547027,1.3587570396431243,-0.3692184113347272,-0.24043412602469263,0.39104899813647526,0.711613178544047,1.1590342181741444,1.6336277408370605,-0.03094756321157832,0.12878428531003458,0.3205641804075718,0.4745935226629161,FLAG
dQ18S,0.8154789234222083,0.909200971068042,-2.227805068812131,-0.6729688629781807,-0.8590075920407155,0.8871838937735171,0.3427497705906853,2.0923952439252154,0.0937220476458337,1.5548362058339504,1.7461914858142327,1.7496454733345301,FLAG
dQ19A,0.8734928101890491,0.9348395845748996,-0.9959588864574488,-0.4982963396229402,0.09771492719100786,0.9778046540539344,1.280752217576902,2.276418183346172,0.061346774385850456,0.4976625468345086,0.8800897268629265,0.9956659657692701,FLAG
dQ20A,1.2315045780069405,1.3078959645892752,-0.6576775958942604,0.06650062942647593,0.49335366555268617,1.3327319176107648,1.4142935135963521,2.3497449784182307,0.07639138658233469,0.7241782253207364,0.8393782520580786,0.9354514648218786,FLAG
dQ21D,1.862923745610945,1.237897962606027,0.043368210788031845,0.31133211656002346,0.6300582084187133,1.02693895241653,1.218647910794928,1.8687495793458473,-0.6250257830049182,0.26796390577199164,0.3968807439978167,0.6501016685509193,FLAG
dQ1S,0.4629361190944011,0.6069970625149455,-1.8931976411532319,-1.2656760286414814,0.5362040472159122,1.3437604195600457,2.5570494798545673,3.071393991212924,0.14406094342054437,0.6275216125117504,0.8075563723441335,0.5143445113583565,FLAG
dQ9A,1.3613960817667248,1.2281044777864818,-1.5265260690444808,-1.310501787991478,-0.2988488650269524,0.09873787741578072,0.6777424181552173,1.3572514296488654,-0.13329160398024298,0.21602428105300286,0.3975867424427331,0.6795090114936481,FLAG
dQ11S,1.5233104405319922,1.317053430303855,-1.2631418557083036,-0.8463066397179507,-0.19167634645342002,0.5087203245379122,0.8136623490026341,1.5446755150706952,-0.20625701022813714,0.4168352159903529,0.7003966709913322,0.7310131660680611,FLAG
dQ12S,1.0287897120049558,1.093936027859962,-0.6550889461489806,-0.41126420372631384,0.6000456634329322,0.9551637365685566,1.7501204474449743,2.4088985896878983,0.06514631585500608,0.24382474242266677,0.3551180731356244,0.658778142242924,FLAG
dQ15A,1.4458922964873535,1.6509462612002874,-0.848611586577792,-0.2611620610794946,0.0389855810866463,0.8330008144695198,1.1025991950475809,1.7039149306777117,0.2050539647129339,0.5874495254982974,0.7940152333828735,0.6013157356301309,FLAG
