item,a__1st Yr,a__2nd Yr,b1__1st Yr,b1__2nd Yr,b2__1st Yr,b2__2nd Yr,b3__1st Yr,b3__2nd Yr,a_diff,b1_diff,b2_diff,b3_diff,flag
dQ7A,0.8182033300733232,0.9807736184503866,-0.8285145977442921,-0.37175320253307087,0.3295612116652995,0.9073011261945955,1.3006199134779435,2.083643706755668,0.16257028837706333,0.4567613952112213,0.577739914529296,0.7830237932777246,FLAG
dQ10D,1.3208865952558795,1.5569168110509892,0.04705751767347568,-0.6674285746351825,1.0976093252047996,0.27249829458978686,1.6649811274340407,1.1759618429919403,0.23603021579510974,-0.7144860923086581,-0.8251110306150127,-0.4890192844421004,FLAG
dQ13D,1.2977344881633048,1.9565943456986041,-0.8237595191709808,-1.10081092808176,0.1253954877800027,0.14032342204667342,0.7345500315578634,0.9711549785426726,0.6588598575352993,-0.2770514089107792,0.014927934266670717,0.23660494698480927,FLAG
dQ14S,0.17295828800036844,1.0291286900630645,-6.365351253559727,-1.6312749336385437,-0.6926215636897797,0.21685190287919193,4.743470779317747,1.3951226212557954,0.8561704020626961,4.734076319921184,0.9094734665689717,-3.348348158061951,FLAG
dQ16D,1.369060498391757,1.2034424823644303,-0.04696806625544901,-0.6355186265384081,0.7959833538627049,0.7117545234683146,1.4893863060865653,1.7440446095578312,-0.16561801602732662,-0.588550560282959,-0.08422883039439033,0.25465830347126595,FLAG
dQ17D,1.37174253575925,1.4501798271533293,0.10165400265656033,-0.5503086535006052,0.9352059796179406,0.2126144464084341,1.445621308816447,1.1834446813817006,0.07843729139407918,-0.6519626561571655,-0.7225915332095065,-0.26217662743474635,FLAG
dQ18S,0.4636751553780824,1.1753538055956732,-1.8195571363536536,-1.1023552592139405,0.043598084223667406,0.1101485026767446,1.5801696702585026,1.0147693559002273,0.7116786502175907,0.7172018771397131,0.06655041845307719,-0.5654003143582753,FLAG
dQ19A,0.6629266570528443,0.984928393833455,-0.5489886866273173,-0.6902413346299101,0.4683869524439982,0.6953879751905001,1.8195201848240088,1.8731647926040536,0.3220017367806107,-0.14125264800259285,0.2270010227465019,0.05364460778004476,FLAG
dQ20A,1.145167887679054,1.3040206115711834,-0.2396026989315924,-0.29299661294976637,1.0000099532226536,0.8778867157440027,1.8146240772038094,1.919949552738926,0.15885272389212934,-0.05339391401817398,-0.12212323747865095,0.10532547553511673,OK
dQ21D,1.2862248420136775,1.3928983756361617,0.6867464373313049,-0.11123418006030814,1.3990964763103042,0.6152213786353093,1.8060413104230169,1.4587022835144492,0.10667353362248422,-0.7979806173916131,-0.7838750976749949,-0.34733902690856766,FLAG
dQ1S,0.4016722674306051,0.7614958915618195,-0.805157107892691,-1.4848664067346395,1.4438779164595414,0.795738589343558,3.2215458227715126,2.491612053220097,0.35982362413121444,-0.6797092988419485,-0.6481393271159834,-0.7299337695514154,FLAG
dQ9A,1.174794555225917,1.4541562351693547,-1.10131693724847,-1.3774548386663972,-0.014559811733372332,-0.15902836261613235,0.9442707218696783,0.8943486420519817,0.27936167994343775,-0.27613790141792727,-0.14446855088276,-0.049922079817696585,FLAG
dQ11S,1.1008771955749348,1.6085750077511698,-0.6149271985753743,-1.2247284794858806,0.4966576880697577,0.07117667985673702,1.7868227940847312,0.9366697741633938,0.507697812176235,-0.6098012809105063,-0.42548100821302065,-0.8501530199213374,FLAG
dQ12S,0.8313599458744435,1.2503299161842754,-0.1724632515988267,-0.6863540550989622,1.1692439536445711,0.5113412220577794,2.5175502037263473,1.6681495254383871,0.41896997030983185,-0.5138908035001355,-0.6579027315867917,-0.8494006782879602,FLAG
dQ15A,1.2398417412642253,1.6927490739003408,-0.29366304541080307,-0.5987717432172736,0.6648647130086456,0.4234674164660118,1.5887840313874209,1.5132651669173953,0.4529073326361155,-0.3051086978064705,-0.24139729654263375,-0.07551886447002554,FLAG
