item,a,b1,b2,b3
dQ7A,0.8891290763286879,-0.5614020521920127,0.7171389523176951,1.836796218642726
dQ10D,1.4938466992449715,-0.40805279539326905,0.5334205717121949,1.354277783816247
dQ13D,1.584737720301863,-1.0645588022956625,0.11244585042836133,0.9803242058987776
dQ14S,0.7106758937450124,-2.0103643922440746,0.09931178044086533,1.6344850299552904
dQ16D,1.2264818511216402,-0.5266600108803725,0.719921635835477,1.6994520540907878
dQ17D,1.3187308825531527,-0.3163023834028758,0.5466586070374997,1.3958590423372865
dQ18S,0.9799189674000468,-1.2218996605218708,0.03329434951348692,1.018532153342417
dQ19A,0.9566531822458685,-0.7171464919891616,0.49184523101915967,1.629562694236236
dQ20A,1.3367481548841533,-0.2776977158851822,0.854694696276514,1.7466838694809952
dQ21D,1.4880978088112764,0.16555148887705995,0.8081945391538106,1.5034772893195751
dQ1S,0.5705833229804892,-1.4624096483340248,0.9069820119962588,2.6278025813717827
dQ9A,1.3330993427138074,-1.3904787026429712,-0.11511205347555122,0.9602492511922247
dQ11S,1.4650183033966537,-1.0331629211868096,0.12515602306002976,1.1050674775960958
dQ12S,1.0620001596422168,-0.5452264997949188,0.7540463301067949,2.0106787836432276
dQ15A,1.6234270807421367,-0.5226674084300889,0.41424601595988186,1.3349479915213733
